,default_profile,favourites_count,followers_count,friends_count,location,statuses_count,verified,account_age_days,account_type,ratio_statuses_count_per_age,ratio_favorites_per_age,ratio_friends_per_followers,word_count,char_count,reputation,contains_bot_name,description_word_count,description_character_count,avg_word
1046,False,5879,94693,3370,True,455,True,4450,human,0.10224719101123596,1.321123595505618,0.03558869187796353,21,154,0.9656343371098172,False,21,132,6.285714285714286
1047,True,116,1,0,True,25,False,2219,bot,0.011266336187471835,0.05227579990986931,0.0,8,61,1.0,False,8,54,6.75
1048,False,32564,1063,1394,True,1545,False,746,human,2.071045576407507,43.6514745308311,1.3113828786453434,17,142,0.4326414326414326,False,17,126,7.411764705882353
1049,False,8150,389,346,True,11722,False,3418,human,3.4294909303686367,2.3844353423054416,0.8894601542416453,7,38,0.5292517006802722,False,7,32,4.571428571428571
1050,False,7755,141,233,True,27069,False,4144,human,6.532094594594595,1.871380308880309,1.6524822695035462,9,61,0.3770053475935829,False,9,53,5.888888888888889
1051,False,2328,231,325,True,9816,False,3080,human,3.187012987012987,0.7558441558441559,1.406926406926407,1,1,0.4154676258992806,False,1,1,1.0
1052,True,71,179228,71,True,8635,False,3521,human,2.452428287418347,0.020164725930133486,0.00039614345972727475,6,87,0.9996040134077714,False,7,81,11.571428571428571
1053,True,1885,125,82,True,5043,False,2876,human,1.7534770514603617,0.6554242002781642,0.656,27,126,0.6038647342995169,False,27,100,3.7037037037037037
1054,True,721,161,611,True,4093,False,3426,human,1.194687682428488,0.21044950379451255,3.7950310559006213,6,41,0.20854922279792745,False,6,36,6.0
1055,False,1828,33,125,True,2809,False,2951,bot,0.9518807184005422,0.6194510335479498,3.787878787878788,18,125,0.2088607594936709,False,18,108,6.0
1056,False,9326,433,565,True,20090,False,3116,human,6.447368421052632,2.9929396662387675,1.3048498845265588,18,115,0.4338677354709419,False,18,98,5.444444444444445
1057,False,4562,231,0,True,16380,False,3008,human,5.445478723404255,1.516622340425532,0.0,8,56,1.0,False,8,49,6.125
1058,False,0,6701,0,True,48514,False,2038,bot,23.80471050049068,0.0,0.0,18,126,1.0,False,18,109,6.055555555555555
1059,False,5043,4177793,702,True,39128,True,4055,human,9.649321824907522,1.2436498150431565,0.00016803130265190258,21,160,0.9998319969271233,False,21,140,6.666666666666667
1060,False,21231,131,391,True,17078,False,3018,human,5.65871438038436,7.034791252485089,2.984732824427481,6,31,0.2509578544061303,False,6,26,4.333333333333333
1061,False,403,31561,0,True,1204,True,3284,human,0.36662606577344703,0.12271619975639464,0.0,7,47,1.0,False,7,41,5.857142857142857
1062,False,4150,6608,6259,True,22616,False,3335,human,6.781409295352324,1.2443778110944528,0.9471852300242131,16,152,0.5135618248231911,False,16,135,8.4375
1063,True,206,86,909,True,596,False,3384,human,0.17612293144208038,0.060874704491725766,10.569767441860465,1,1,0.0864321608040201,False,1,1,1.0
1064,False,1956,42,0,True,3591,False,3654,human,0.9827586206896551,0.535303776683087,0.0,10,45,1.0,False,10,36,3.6
1065,True,54,5,44,True,11,False,2176,bot,0.00505514705882353,0.024816176470588234,8.8,8,54,0.10204081632653061,False,8,47,5.875
1066,False,840,6,100,True,505,False,2551,human,0.19796158369266953,0.32928263426107407,16.666666666666668,1,1,0.05660377358490566,False,1,1,1.0
1067,False,55,288422,5596,True,6976,True,3828,human,1.8223615464994776,0.014367816091954023,0.01940212605141078,15,81,0.9809671516709861,False,15,67,4.466666666666667
1068,False,216,421,0,True,1599,False,4097,human,0.3902855748108372,0.052721503539175006,0.0,2,15,1.0,False,2,14,7.0
1069,False,3820,68,408,True,3459,False,2956,human,1.1701623815967523,1.2922868741542626,6.0,1,1,0.14285714285714285,False,1,1,1.0
1070,True,912,19,0,True,1283,False,4191,bot,0.3061321880219518,0.21760916249105225,0.0,1,1,1.0,False,1,1,1.0
1071,False,1063,813,2104,True,4259,False,3781,human,1.1264215815921714,0.28114255487966144,2.5879458794587946,8,57,0.27871100445663355,False,8,50,6.25
1072,False,174,92,82,True,3528,False,3295,human,1.0707132018209409,0.052807283763277695,0.8913043478260869,25,127,0.5287356321839081,False,25,103,4.12
1073,False,4074,572018,281,True,16203,True,4162,human,3.8930802498798656,0.9788563190773667,0.0004912432825540455,25,158,0.99950899791892,False,25,134,5.36
1074,True,277,25,59,True,311,False,674,human,0.46142433234421365,0.41097922848664686,2.36,17,102,0.2976190476190476,False,17,86,5.0588235294117645
1075,False,56431,48043,4213,True,122612,True,3869,human,31.690876195399326,14.58542258981649,0.08769227566971255,22,135,0.9193776791181874,False,22,114,5.181818181818182
1076,True,1375,4,0,True,2007,False,4131,bot,0.485838779956427,0.3328491890583394,0.0,1,1,1.0,False,1,1,1.0
1077,False,52994,966,190,True,88810,False,2230,human,39.82511210762332,23.764125560538115,0.19668737060041408,14,80,0.8356401384083045,False,14,67,4.785714285714286
1078,True,1918,60,890,True,3062,False,3236,human,0.946229913473424,0.592707045735476,14.833333333333334,1,1,0.06315789473684211,False,1,1,1.0
1079,True,559,45,0,True,1125,False,3390,human,0.33185840707964603,0.1648967551622419,0.0,1,1,1.0,False,1,1,1.0
1080,True,267,17,0,True,338,False,2889,bot,0.11699550017307027,0.09241952232606439,0.0,10,78,1.0,False,10,69,6.9
